Lokace,Velikost,Metry2,Cena,Služby
Středočeský kraj,3+kk,59 ,16000,5000
Praha,3+kk,68 ,23000,2091
Praha,3+kk,89 ,35063,11687
Praha,3+kk,90 ,17250,5750
Plzeňský kraj,3+1,78 ,29250,9750
Jihomoravský kraj,1+kk,15 ,5000,0
Liberecký kraj,2+kk,41 ,8300,2500
Olomoucký kraj,2+kk,61 ,14000,3000
Jihočeský kraj,2+kk,47 ,10000,3500
Praha,2+kk,52 ,20000,5000
Středočeský kraj,1+kk,37 ,16000,2500
Praha,2+kk,43 ,10900,3798
Jihomoravský kraj,1+kk,29 ,12000,2560
Karlovarský kraj,1+1,40 ,5000,3000
Olomoucký kraj,1+kk,34 ,19500,6500
Středočeský kraj,2+kk,41 ,11500,3000
Středočeský kraj,2+kk,60 ,21000,3600
Středočeský kraj,2+kk,61 ,17000,4500
Praha,1+kk,40 ,14000,7500
Praha,2+1,70 ,18000,0
Praha,3+1,82 ,17000,3000
Praha,Garsoniéra,27 ,12000,2000
Praha,Garsoniéra,33 ,12000,3000
Praha,2+kk,53 ,19000,4000
Praha,1+kk,32 ,14000,1930
Karlovarský kraj,1+1,43 ,9000,2381
Praha,2+kk,46 ,18000,4500
Praha,2+kk,45 ,9500,4500
Praha,2+kk,52 ,18500,4000
Praha,2+kk,57 ,16500,6000
Praha,2+kk,44 ,16900,3100
Moravskoslezský kraj,1+kk,33 ,5600,3000
Olomoucký kraj,2+kk,64 ,15900,3000
Jihomoravský kraj,2+kk,50 ,18000,2000
Liberecký kraj,2+kk,68 ,21750,7250
Středočeský kraj,1+1,32 ,10000,2700
Praha,2+kk,40 ,19900,3900
Praha,2+kk,487 ,18000,2500
Ústecký kraj,1+1,42 ,7900,1900
Praha,3+kk,63 ,21000,6000
Praha,2+kk,55 ,18000,5500
Moravskoslezský kraj,2+kk,72 ,17500,0
Středočeský kraj,1+kk,39 ,8500,3000
Zlínský kraj,2+kk,50 ,10000,4500
Středočeský kraj,1+1,40 ,10000,5000
Středočeský kraj,2+kk,61 ,15500,4200
Jihomoravský kraj,2+kk,70 ,13500,0
Středočeský kraj,1+1,55 ,12000,4000
Praha,3+kk,104 ,3000,2500
Praha,1+kk,31 ,13800,2297
Praha,3+kk,91 ,28000,4826
Praha,1+kk,30 ,12000,3500
Jihomoravský kraj,3+kk,75 ,14000,3000
Moravskoslezský kraj,2+1,54 ,6450,0
Moravskoslezský kraj,1+kk,29 ,4190,0
Moravskoslezský kraj,2+1,52 ,6760,0
Moravskoslezský kraj,2+1,52 ,8180,0
Moravskoslezský kraj,2+1,55 ,7020,0
Moravskoslezský kraj,2+1,54 ,6600,0
Praha,2+kk,50 ,17500,4500
Praha,Garsoniéra,20 ,8000,2500
Středočeský kraj,2+kk,44 ,10900,2000
Moravskoslezský kraj,2+1,49 ,6800,0
Plzeňský kraj,3+1,75 ,17100,900
Moravskoslezský kraj,2+1,48 ,4470,0
Královéhradecký kraj,2+kk,56 ,15000,3000
Moravskoslezský kraj,2+kk,34 ,7550,0
Praha,1+kk,33 ,14900,3300
Moravskoslezský kraj,2+kk,46 ,6050,0
Praha,2+kk,52 ,24500,3900
Zlínský kraj,2+1,65 ,9000,5000
Jihočeský kraj,1+kk,54 ,16900,3000
Praha,1+kk,33 ,10000,3000
Moravskoslezský kraj,2+kk,47 ,5720,0
Praha,2+kk,48 ,14900,4800
Praha,2+kk,60 ,37500,12500
Jihomoravský kraj,1+kk,35 ,9000,2000
Moravskoslezský kraj,1+kk,20 ,4050,0
Moravskoslezský kraj,2+1,54 ,6650,0
Praha,3+1,69 ,29500,6000
Praha,2+kk,54 ,18000,4124
Moravskoslezský kraj,2+kk,39 ,9000,300
Praha,1+kk,36 ,13000,0
Jihomoravský kraj,2+1,55 ,14500,4500
Olomoucký kraj,3+1,70 ,13500,2500
Praha,2+kk,62 ,20000,2500
Praha,2+kk,56 ,31500,10500
Praha,1+kk,30 ,26925,8975
Středočeský kraj,2+kk,65 ,14000,3000
Středočeský kraj,3+kk,66 ,15000,4000
Olomoucký kraj,2+kk,50 ,13000,2500
Praha,1+kk,26 ,9300,4500
Praha,2+kk,64 ,21000,1500
Praha,1+1,35 ,12000,3000
Královéhradecký kraj,2+kk,42 ,12000,2600
Praha,1+kk,42 ,14500,0
Plzeňský kraj,3+1,77 ,17000,3000
Praha,2+kk,56 ,37500,12500
Jihočeský kraj,4+1,105 ,28688,9562
Liberecký kraj,2+kk,42 ,8500,2500
Praha,1+kk,30 ,20000,3500
Praha,3+kk,65 ,18000,4950
Moravskoslezský kraj,3+kk,90 ,18000,0
Královéhradecký kraj,2+kk,59 ,9500,3300
Praha,2+kk,68 ,22500,5000
Praha,2+1,79 ,33825,11275
Praha,1+1,50 ,27000,9000
Plzeňský kraj,3+kk,120 ,60000,20000
Praha,1+kk,11 ,6800,500
Praha,1+kk,50 ,12250,2615
Praha,3+1,55 ,48645,16215
Praha,2+kk,60 ,37500,12500
Praha,2+1,65 ,31875,10625
Středočeský kraj,2+kk,57 ,12000,6000
Praha,2+1,65 ,28800,5800
Středočeský kraj,2+1,61 ,12000,5000
Praha,2+1,100 ,34650,11550
Praha,3+kk,82 ,36450,12150
Praha,2+1,48 ,46530,15510
Jihočeský kraj,2+kk,41 ,11000,2500
Praha,1+1,30 ,29925,9975
Plzeňský kraj,3+kk,78 ,29250,9750
Jihomoravský kraj,1+1,35 ,15236,5079
Praha,3+1,120 ,63750,21250
Praha,3+kk,62 ,63413,21137
