Lokace,Velikost,Metry2,Cena,Služby
Moravskoslezský kraj,2+1,56 ,6570,0
Moravskoslezský kraj,1+1,28 ,3170,0
Moravskoslezský kraj,1+kk,37 ,5170,0
Praha,2+1,56 ,14000,3900
Moravskoslezský kraj,1+1,36 ,5800,0
Praha,2+kk,60 ,16000,4500
Praha,2+kk,43 ,14000,1300
Moravskoslezský kraj,1+1,37 ,7600,2000
Moravskoslezský kraj,1+1,40 ,8300,300
Středočeský kraj,Garsoniéra,18 ,6500,3500
Pardubický kraj,3+1,64 ,14000,2650
Pardubický kraj,3+1,82 ,15000,3500
Praha,2+kk,54 ,19000,5000
Středočeský kraj,2+kk,145 ,25000,4000
Praha,2+1,52 ,17500,3000
Královéhradecký kraj,2+kk,56 ,15000,1700
Jihomoravský kraj,2+kk,42 ,15500,2800
Praha,3+kk,70 ,23000,2085
Praha,1+kk,30 ,10500,2400
Praha,2+kk,46 ,19990,3500
Praha,2+kk,50 ,20000,5500
Moravskoslezský kraj,2+1,58 ,5520,0
Moravskoslezský kraj,1+1,28 ,3870,0
Moravskoslezský kraj,3+1,69 ,6980,0
Moravskoslezský kraj,1+1,41 ,6950,0
Moravskoslezský kraj,1+1,37 ,7370,0
Moravskoslezský kraj,2+1,56 ,9810,0
Moravskoslezský kraj,2+1,59 ,9130,0
Moravskoslezský kraj,2+1,56 ,9260,0
Praha,3+1,75 ,18500,5990
Moravskoslezský kraj,2+1,56 ,9800,2700
Jihomoravský kraj,2+1,71 ,18000,7000
Praha,3+1,70 ,25000,3000
Praha,2+kk,54 ,19000,4000
Královéhradecký kraj,1+kk,30 ,10000,2000
Jihomoravský kraj,2+1,45 ,16000,3655
Praha,1+kk,33 ,14000,3000
Olomoucký kraj,2+1,69 ,14990,3830
Moravskoslezský kraj,1+kk,29 ,8000,3500
Praha,2+kk,58 ,21990,3407
Praha,3+1,80 ,32000,3000
Jihomoravský kraj,1+1,50 ,13900,3900
Středočeský kraj,3+1,80 ,11000,7500
Praha,3+kk,76 ,28500,4900
Praha,3+1,110 ,28000,7200
Středočeský kraj,3+kk,60 ,16990,3251
Středočeský kraj,2+kk,33 ,11000,3000
Středočeský kraj,2+kk,44 ,13900,3800
Královéhradecký kraj,1+kk,48 ,12000,3133
Jihomoravský kraj,2+kk,46 ,16900,3600
Moravskoslezský kraj,3+1,86 ,12000,2500
Praha,1+1,45 ,12000,5000
Praha,2+kk,46 ,21500,1500
Moravskoslezský kraj,2+1,53 ,9020,0
Moravskoslezský kraj,2+1,52 ,6770,0
Moravskoslezský kraj,1+1,37 ,5330,0
Moravskoslezský kraj,1+1,40 ,8070,0
Moravskoslezský kraj,2+1,56 ,11420,0
Moravskoslezský kraj,2+1,47 ,8090,0
Moravskoslezský kraj,1+kk,28 ,4520,0
Moravskoslezský kraj,2+1,56 ,9130,0
Moravskoslezský kraj,2+1,57 ,8320,0
Moravskoslezský kraj,3+1,71 ,10720,0
Moravskoslezský kraj,3+1,68 ,9990,0
Moravskoslezský kraj,3+1,72 ,12770,0
Moravskoslezský kraj,1+kk,29 ,5900,0
Moravskoslezský kraj,2+kk,42 ,12500,0
Moravskoslezský kraj,3+kk,68 ,14950,0
Moravskoslezský kraj,3+1,70 ,6470,0
Moravskoslezský kraj,1+kk,23 ,9700,0
Moravskoslezský kraj,2+1,57 ,9700,0
Moravskoslezský kraj,2+1,57 ,9800,0
Moravskoslezský kraj,3+1,75 ,11730,0
Moravskoslezský kraj,2+1,49 ,6950,0
Moravskoslezský kraj,1+1,36 ,7720,0
Moravskoslezský kraj,3+1,69 ,10070,0
Moravskoslezský kraj,2+1,52 ,6830,0
Moravskoslezský kraj,1+1,37 ,6020,0
Moravskoslezský kraj,2+1,56 ,11280,0
Moravskoslezský kraj,1+1,35 ,5900,0
Moravskoslezský kraj,4+1,85 ,11600,0
Moravskoslezský kraj,3+kk,65 ,13950,0
Moravskoslezský kraj,2+1,55 ,8150,0
Moravskoslezský kraj,2+kk,60 ,13550,0
Moravskoslezský kraj,1+1,28 ,4180,0
Moravskoslezský kraj,3+1,69 ,7950,0
Moravskoslezský kraj,1+kk,27 ,7180,0
Moravskoslezský kraj,2+1,53 ,10110,0
Moravskoslezský kraj,2+1,52 ,5570,0
Moravskoslezský kraj,3+1,67 ,12830,0
Moravskoslezský kraj,2+1,55 ,9220,0
Moravskoslezský kraj,1+1,39 ,8070,0
Moravskoslezský kraj,1+kk,35 ,7370,0
Moravskoslezský kraj,3+1,76 ,14700,0
Moravskoslezský kraj,1+1,39 ,7330,0
Moravskoslezský kraj,2+1,47 ,7380,0
Moravskoslezský kraj,3+1,66 ,9350,0
Moravskoslezský kraj,3+1,68 ,6190,0
Moravskoslezský kraj,2+kk,46 ,8100,0
Moravskoslezský kraj,1+1,38 ,7600,0
Moravskoslezský kraj,3+1,70 ,10670,0
Moravskoslezský kraj,1+kk,30 ,5520,0
Moravskoslezský kraj,1+kk,30 ,5100,0
Moravskoslezský kraj,4+1,82 ,10120,0
Moravskoslezský kraj,2+1,69 ,10730,0
Moravskoslezský kraj,3+1,71 ,11710,0
Moravskoslezský kraj,1+1,37 ,6550,0
Moravskoslezský kraj,3+1,73 ,7000,0
Moravskoslezský kraj,2+1,59 ,7370,0
Moravskoslezský kraj,2+1,48 ,5340,0
Moravskoslezský kraj,1+1,27 ,3420,0
Moravskoslezský kraj,2+1,54 ,9300,0
Moravskoslezský kraj,2+1,56 ,6200,0
Moravskoslezský kraj,2+1,52 ,5560,0
Moravskoslezský kraj,1+kk,20 ,5550,0
Moravskoslezský kraj,2+1,61 ,10000,0
Moravskoslezský kraj,2+1,48 ,8600,0
Moravskoslezský kraj,2+1,53 ,6080,0
Moravskoslezský kraj,3+1,70 ,9040,0
Moravskoslezský kraj,1+1,37 ,8000,0
Moravskoslezský kraj,2+1,58 ,9670,0
Moravskoslezský kraj,2+1,53 ,6700,0
Moravskoslezský kraj,2+1,55 ,7520,0
Moravskoslezský kraj,2+1,48 ,7700,0
Zlínský kraj,3+kk,81 ,15000,3000
Moravskoslezský kraj,1+kk,29 ,4280,0
Moravskoslezský kraj,2+kk,41 ,4700,0
Moravskoslezský kraj,1+kk,33 ,6050,0
Moravskoslezský kraj,3+1,68 ,8690,0
Moravskoslezský kraj,1+kk,18 ,3700,0
Moravskoslezský kraj,4+1,96 ,8250,0
Moravskoslezský kraj,2+1,50 ,6150,0
Moravskoslezský kraj,2+1,48 ,5850,0
Moravskoslezský kraj,2+1,52 ,7470,0
Moravskoslezský kraj,2+1,67 ,10550,0
Moravskoslezský kraj,1+1,38 ,7830,0
Moravskoslezský kraj,2+1,50 ,7450,0
Moravskoslezský kraj,2+1,56 ,5520,0
Moravskoslezský kraj,2+1,54 ,6950,0
Moravskoslezský kraj,2+1,55 ,8450,0
Moravskoslezský kraj,2+1,58 ,7200,0
Moravskoslezský kraj,3+1,68 ,8180,0
Moravskoslezský kraj,2+1,55 ,5790,0
Moravskoslezský kraj,1+kk,28 ,5100,0
Moravskoslezský kraj,3+1,66 ,9600,0
Moravskoslezský kraj,2+kk,49 ,7600,0
Moravskoslezský kraj,2+1,53 ,9600,0
Moravskoslezský kraj,2+1,60 ,7270,0
Moravskoslezský kraj,2+1,57 ,8510,0
Moravskoslezský kraj,2+1,55 ,6750,0
Moravskoslezský kraj,2+1,55 ,7020,0
Moravskoslezský kraj,1+1,36 ,7470,0
Moravskoslezský kraj,3+1,62 ,10150,0
Moravskoslezský kraj,1+kk,28 ,5120,0
Moravskoslezský kraj,2+1,53 ,9420,0
Moravskoslezský kraj,3+1,67 ,7840,0
Moravskoslezský kraj,2+1,58 ,5700,0
Moravskoslezský kraj,2+1,53 ,6900,0
Moravskoslezský kraj,2+1,50 ,8910,0
Moravskoslezský kraj,2+1,54 ,7000,0
Moravskoslezský kraj,1+1,51 ,7900,0
Moravskoslezský kraj,2+1,55 ,9030,0
Moravskoslezský kraj,1+kk,40 ,7470,0
Moravskoslezský kraj,2+1,49 ,7870,0
Moravskoslezský kraj,3+1,73 ,13020,0
Moravskoslezský kraj,3+1,68 ,7830,0
Moravskoslezský kraj,2+kk,41 ,8850,0
Moravskoslezský kraj,3+1,72 ,6350,0
Moravskoslezský kraj,2+1,53 ,6930,0
Moravskoslezský kraj,1+kk,27 ,4510,0
Moravskoslezský kraj,2+1,57 ,8590,0
Moravskoslezský kraj,2+1,54 ,7210,0
Moravskoslezský kraj,2+1,76 ,11690,0
Moravskoslezský kraj,2+1,56 ,5970,0
Moravskoslezský kraj,2+1,51 ,6110,0
Moravskoslezský kraj,1+1,31 ,5680,0
Moravskoslezský kraj,2+kk,40 ,8570,0
Moravskoslezský kraj,2+1,49 ,6500,0
Moravskoslezský kraj,3+1,77 ,9350,0
Moravskoslezský kraj,1+kk,28 ,6420,0
Moravskoslezský kraj,3+1,77 ,8350,0
Moravskoslezský kraj,3+1,61 ,8100,0
Moravskoslezský kraj,2+1,55 ,7150,0
Moravskoslezský kraj,2+1,43 ,7000,0
Moravskoslezský kraj,2+kk,43 ,7600,0
Moravskoslezský kraj,2+1,59 ,6830,0
Moravskoslezský kraj,1+1,47 ,8050,0
Moravskoslezský kraj,2+1,50 ,5750,0
Moravskoslezský kraj,2+1,52 ,6200,0
Moravskoslezský kraj,2+1,47 ,6680,0
Moravskoslezský kraj,2+1,56 ,7140,0
Moravskoslezský kraj,3+1,74 ,11510,0
Moravskoslezský kraj,1+1,27 ,3350,0
Moravskoslezský kraj,2+1,69 ,9170,0
Moravskoslezský kraj,2+1,53 ,9400,0
Moravskoslezský kraj,3+1,67 ,7090,0
Moravskoslezský kraj,2+1,54 ,6400,0
Moravskoslezský kraj,3+1,75 ,10400,0
Moravskoslezský kraj,3+1,73 ,10370,0
Moravskoslezský kraj,1+1,46 ,6370,0
Moravskoslezský kraj,2+1,55 ,5720,0
Moravskoslezský kraj,2+1,62 ,9740,0
Moravskoslezský kraj,2+1,61 ,9110,0
Moravskoslezský kraj,2+1,47 ,5700,0
Moravskoslezský kraj,2+1,50 ,4550,0
Moravskoslezský kraj,1+kk,32 ,4670,0
Moravskoslezský kraj,2+kk,46 ,6050,0
Moravskoslezský kraj,3+1,74 ,8750,0
Moravskoslezský kraj,2+1,55 ,5720,0
Moravskoslezský kraj,2+1,57 ,8520,0
Moravskoslezský kraj,2+1,54 ,9550,0
Moravskoslezský kraj,2+1,49 ,6750,0
Moravskoslezský kraj,2+kk,41 ,7870,0
Moravskoslezský kraj,3+1,76 ,8450,0
Moravskoslezský kraj,1+1,37 ,6750,0
Moravskoslezský kraj,2+1,54 ,7390,0
Moravskoslezský kraj,2+1,60 ,8650,0
Moravskoslezský kraj,1+kk,29 ,4830,0
Moravskoslezský kraj,2+1,53 ,6830,0
Moravskoslezský kraj,2+1,57 ,7300,0
Moravskoslezský kraj,1+1,35 ,5850,0
Praha,1+kk,36 ,13000,3000
Moravskoslezský kraj,1+kk,27 ,4060,0
Moravskoslezský kraj,1+kk,39 ,6720,0
Moravskoslezský kraj,3+1,69 ,9100,0
Moravskoslezský kraj,2+1,59 ,5110,0
Moravskoslezský kraj,2+1,54 ,5570,0
Moravskoslezský kraj,3+1,75 ,7550,0
Moravskoslezský kraj,2+1,56 ,8440,0
Moravskoslezský kraj,2+1,67 ,7350,0
Moravskoslezský kraj,1+1,37 ,7820,0
Moravskoslezský kraj,3+1,73 ,10700,0
Moravskoslezský kraj,2+1,56 ,9070,0
Moravskoslezský kraj,1+kk,20 ,4000,0
Moravskoslezský kraj,2+1,55 ,6840,0
Moravskoslezský kraj,2+1,53 ,9100,0
Moravskoslezský kraj,2+1,57 ,8150,0
Moravskoslezský kraj,2+1,55 ,8900,0
Moravskoslezský kraj,1+1,37 ,7650,0
Moravskoslezský kraj,1+kk,29 ,4170,0
Moravskoslezský kraj,3+1,68 ,8920,0
Moravskoslezský kraj,1+1,50 ,5980,0
Moravskoslezský kraj,2+1,55 ,6520,0
Moravskoslezský kraj,2+1,58 ,8670,0
Moravskoslezský kraj,2+1,49 ,6970,0
Moravskoslezský kraj,2+1,61 ,8750,0
Moravskoslezský kraj,2+1,59 ,9150,0
Moravskoslezský kraj,2+1,59 ,8550,0
Moravskoslezský kraj,1+kk,19 ,4200,0
Moravskoslezský kraj,1+1,44 ,7770,0
Moravskoslezský kraj,2+1,61 ,6550,0
Moravskoslezský kraj,2+1,47 ,6200,0
Moravskoslezský kraj,2+1,48 ,7070,0
Moravskoslezský kraj,1+kk,25 ,4590,0
Moravskoslezský kraj,1+1,38 ,7640,0
Moravskoslezský kraj,2+1,63 ,7500,0
Moravskoslezský kraj,1+1,41 ,6500,0
Moravskoslezský kraj,1+kk,31 ,6500,0
Moravskoslezský kraj,2+1,59 ,8100,0
Moravskoslezský kraj,2+1,52 ,5850,0
Moravskoslezský kraj,2+1,52 ,6450,0
Moravskoslezský kraj,2+1,72 ,12150,0
Moravskoslezský kraj,2+1,55 ,7450,0
Moravskoslezský kraj,1+1,33 ,6490,0
Moravskoslezský kraj,2+1,54 ,5800,0
Moravskoslezský kraj,2+1,47 ,7200,0
Moravskoslezský kraj,2+1,56 ,6000,0
Moravskoslezský kraj,2+1,54 ,8250,0
Moravskoslezský kraj,2+1,54 ,8850,0
Moravskoslezský kraj,4+1,73 ,8920,0
Moravskoslezský kraj,3+1,68 ,6670,0
Moravskoslezský kraj,2+1,53 ,6020,0
Moravskoslezský kraj,2+1,52 ,5570,0
Moravskoslezský kraj,1+1,36 ,7500,0
Moravskoslezský kraj,1+kk,27 ,4450,0
Moravskoslezský kraj,2+1,50 ,6550,0
Moravskoslezský kraj,1+kk,38 ,5950,0
Moravskoslezský kraj,2+1,63 ,5790,0
Moravskoslezský kraj,2+1,54 ,6900,0
Praha,1+1,55 ,14500,2000
Moravskoslezský kraj,2+1,50 ,6150,0
Moravskoslezský kraj,2+1,42 ,7000,0
Moravskoslezský kraj,2+1,56 ,7600,0
Moravskoslezský kraj,3+1,81 ,6720,0
Moravskoslezský kraj,3+1,81 ,6720,0
Moravskoslezský kraj,2+1,63 ,8000,0
Moravskoslezský kraj,2+kk,37 ,5750,0
Moravskoslezský kraj,2+1,54 ,6450,0
Jihočeský kraj,2+1,50 ,8000,4000
Moravskoslezský kraj,2+1,55 ,8020,0
Moravskoslezský kraj,2+1,48 ,6950,0
Moravskoslezský kraj,1+1,38 ,7320,0
Moravskoslezský kraj,2+kk,45 ,6250,0
Moravskoslezský kraj,2+1,48 ,5800,0
Moravskoslezský kraj,2+1,48 ,5750,0
Moravskoslezský kraj,2+1,60 ,5700,0
Moravskoslezský kraj,2+1,52 ,7500,0
Moravskoslezský kraj,2+1,54 ,6890,0
Moravskoslezský kraj,2+kk,53 ,11800,0
Moravskoslezský kraj,2+kk,54 ,8100,0
Moravskoslezský kraj,2+1,54 ,5750,0
Moravskoslezský kraj,2+1,49 ,6500,0
Moravskoslezský kraj,2+1,48 ,4500,0
Moravskoslezský kraj,2+1,49 ,6130,0
Moravskoslezský kraj,2+1,56 ,8820,0
Liberecký kraj,3+1,90 ,23000,3000
Moravskoslezský kraj,2+1,54 ,4900,0
Moravskoslezský kraj,2+1,54 ,5150,0
Moravskoslezský kraj,2+kk,47 ,8330,0
Moravskoslezský kraj,2+1,51 ,6800,0
Moravskoslezský kraj,2+1,55 ,5850,0
Moravskoslezský kraj,2+1,47 ,7700,0
Ústecký kraj,1+1,37 ,7700,2300
Moravskoslezský kraj,1+1,32 ,5420,0
Moravskoslezský kraj,1+kk,35 ,5920,0
Praha,2+kk,50 ,18000,5000
Moravskoslezský kraj,2+1,44 ,5700,0
Praha,2+1,60 ,13500,5000
Moravskoslezský kraj,1+kk,35 ,6500,2300
Plzeňský kraj,5+kk,140 ,15000,7000
Praha,2+kk,43 ,14500,2100
Praha,2+kk,51 ,21000,3360
Liberecký kraj,5+kk,150 ,30000,1
Praha,1+1,45 ,12000,5000
Praha,1+kk,31 ,13500,3000
Praha,2+1,70 ,25000,3200
Praha,4+kk,6 ,3000,3000
Středočeský kraj,3+1,64 ,14500,5200
Jihomoravský kraj,2+kk,43 ,16000,5000
Středočeský kraj,3+kk,64 ,25000,3500
Praha,2+kk,63 ,24000,0
Praha,2+kk,75 ,28100,3801
Praha,2+kk,52 ,18500,5500
Praha,1+kk,38 ,13000,3000
Praha,1+kk,39 ,13000,3000
Královéhradecký kraj,1+1,31 ,10000,3000
Praha,3+1,77 ,25900,4900
Praha,1+kk,36 ,13000,3700
Ústecký kraj,2+kk,53 ,10000,3000
Plzeňský kraj,2+kk,32 ,7590,2000
Plzeňský kraj,Garsoniéra,27 ,8700,0
Liberecký kraj,3+1,80 ,15000,4800
Středočeský kraj,2+kk,48 ,17000,1000
Jihomoravský kraj,2+kk,51 ,11500,3500
Moravskoslezský kraj,1+kk,21 ,5710,0
Olomoucký kraj,1+kk,25 ,6500,3000
Středočeský kraj,1+kk,36 ,11490,2434
Moravskoslezský kraj,3+1,69 ,6630,0
Moravskoslezský kraj,3+1,68 ,6430,0
Moravskoslezský kraj,3+1,68 ,6880,0
Moravskoslezský kraj,2+1,47 ,7120,0
Moravskoslezský kraj,3+1,72 ,8970,0
Moravskoslezský kraj,2+1,47 ,7370,0
Moravskoslezský kraj,3+1,61 ,6200,0
Moravskoslezský kraj,1+1,28 ,6210,0
Jihomoravský kraj,3+kk,60 ,17000,5000
Praha,2+1,60 ,15800,740
Praha,1+1,34 ,12000,1500
Středočeský kraj,3+kk,70 ,18500,4000
Praha,1+1,45 ,22000,0
Praha,2+kk,44 ,20000,3000
Moravskoslezský kraj,2+kk,42 ,8770,0
Moravskoslezský kraj,4+1,90 ,13290,0
Praha,1+1,34 ,12600,3400
Liberecký kraj,1+1,47 ,9500,2654
Praha,Garsoniéra,36 ,14000,5000
Praha,2+kk,52 ,18000,7000
Praha,2+1,60 ,19950,4000
Praha,3+kk,94 ,34990,2506
Ústecký kraj,3+1,63 ,6200,100
Praha,2+kk,45 ,12000,5500
Zlínský kraj,2+kk,42 ,9900,4000
Praha,4+1,84 ,18990,6589
Praha,2+kk,45 ,15990,3000
Praha,Garsoniéra,40 ,13000,1000
Praha,1+1,41 ,18500,3000
Praha,5+1,115 ,8899,1
Středočeský kraj,3+kk,97 ,20000,4000
Karlovarský kraj,1+1,38 ,7500,5500
Jihomoravský kraj,2+kk,59 ,14000,5500
Středočeský kraj,4+kk,117 ,26800,4600
Praha,2+kk,48 ,23500,3900
Plzeňský kraj,2+1,55 ,11000,3644
Zlínský kraj,1+kk,30 ,7500,2000
Praha,1+1,45 ,13500,4000
Praha,1+kk,42 ,15000,3500
Plzeňský kraj,2+1,61 ,12500,2000
Královéhradecký kraj,2+kk,68 ,11900,3900
Praha,1+kk,30 ,13500,2800
Praha,2+kk,64 ,21000,4500
Praha,Garsoniéra,30 ,11000,1000
Ústecký kraj,1+1,36 ,8750,0
Praha,3+kk,80 ,28500,6500
Královéhradecký kraj,2+kk,55 ,9000,4000
Praha,3+kk,64 ,22950,6050
Liberecký kraj,2+kk,40 ,7800,3450
Středočeský kraj,2+kk,54 ,18000,3000
kraj Vysočina,1+1,32 ,10000,2500
Jihočeský kraj,2+1,120 ,10000,2500
Jihomoravský kraj,2+kk,44 ,18500,2500
Praha,3+kk,68 ,20000,5500
Praha,1+kk,63 ,22000,3700
Praha,2+kk,54 ,15000,7500
Praha,1+kk,34 ,13000,3500
Praha,4+1,93 ,18500,3000
Moravskoslezský kraj,2+kk,53 ,16000,5000
Královéhradecký kraj,Garsoniéra,30 ,7000,3000
Praha,4+1,76 ,20800,5200
Praha,3+kk,61 ,22500,4000
Ústecký kraj,2+1,50 ,9900,3500
Moravskoslezský kraj,2+kk,45 ,12000,0
Karlovarský kraj,Garsoniéra,20 ,4000,2500
Ústecký kraj,2+kk,40 ,9900,3200
Liberecký kraj,3+1,86 ,12500,5400
Praha,2+1,55 ,15067,5000
Praha,2+kk,53 ,18000,4078
Olomoucký kraj,1+1,40 ,10000,0
Moravskoslezský kraj,2+kk,51 ,12900,0
Ústecký kraj,3+kk,86 ,8500,6000
Plzeňský kraj,Garsoniéra,26 ,5490,2000
Jihomoravský kraj,1+kk,42 ,12000,3000
Moravskoslezský kraj,3+kk,86 ,15800,0
Jihočeský kraj,1+1,34 ,10000,600
Ústecký kraj,3+1,80 ,8000,5500
Středočeský kraj,3+1,74 ,15800,0
Praha,2+1,56 ,16000,5000
Praha,5+kk,240 ,59000,9500
Moravskoslezský kraj,2+1,71 ,9500,3000
kraj Vysočina,2+1,56 ,12300,0
Jihomoravský kraj,2+1,54 ,14000,2000
Praha,1+kk,32 ,17500,2500
Jihomoravský kraj,1+1,38 ,10000,3700
Jihočeský kraj,2+1,64 ,6900,2000
Praha,2+kk,48 ,17990,4000
Ústecký kraj,2+kk,65 ,9000,4000
Praha,2+kk,75 ,26000,6000
Praha,3+kk,98 ,30500,2150
Královéhradecký kraj,2+1,61 ,10500,3500
Zlínský kraj,2+1,60 ,12000,4000
Praha,4+kk,60 ,26000,4000
Praha,2+1,70 ,27000,0
Pardubický kraj,2+kk,44 ,15000,2400
Praha,2+kk,41 ,13000,4500
Praha,2+kk,60 ,16900,3500
Jihomoravský kraj,1+1,35 ,6900,4800
Praha,2+1,51 ,17000,5500
Jihomoravský kraj,1+kk,35 ,11000,2000
Praha,3+kk,80 ,29500,6000
Ústecký kraj,1+kk,19 ,4500,1900
Praha,2+kk,67 ,19308,3000
Praha,2+kk,46 ,17000,2410
Moravskoslezský kraj,2+kk,52 ,9900,3000
Středočeský kraj,5+1,15 ,12000,2500
Praha,1+kk,23 ,18000,5000
Praha,2+kk,68 ,21500,4200
Středočeský kraj,1+kk,35 ,7000,3000
Královéhradecký kraj,2+1,56 ,9000,4000
Středočeský kraj,1+kk,28 ,13000,0
Praha,1+kk,32 ,12500,2600
Moravskoslezský kraj,1+1,37 ,6500,2900
Praha,3+1,80 ,8000,0
Praha,2+1,65 ,20000,1
Praha,4+kk,103 ,17000,7000
Praha,1+kk,48 ,30000,10000
Praha,1+kk,42 ,30000,10000
Praha,2+kk,74 ,40000,10000
Ústecký kraj,3+1,96 ,13400,5980
Karlovarský kraj,Garsoniéra,30 ,6000,0
Liberecký kraj,3+kk,73 ,15000,3000
Praha,4+kk,94 ,23000,4000
Praha,2+kk,62 ,24000,4000
Praha,2+kk,50 ,25000,3000
Praha,2+kk,50 ,25000,3000
Praha,1+kk,23 ,11500,3100
Praha,3+kk,84 ,30000,5967
Ústecký kraj,2+1,52 ,9500,1600
Praha,2+kk,45 ,12500,5500
Ústecký kraj,2+1,64 ,9000,3500
Zlínský kraj,3+1,76 ,14000,700
Středočeský kraj,1+kk,34 ,11000,3000
Praha,2+1,71 ,20000,850
Moravskoslezský kraj,1+1,46 ,10000,3500
Liberecký kraj,1+kk,44 ,8500,1500
Ústecký kraj,2+1,64 ,7000,4000
Praha,3+kk,55 ,26000,4000
Praha,2+kk,66 ,18500,3500
Královéhradecký kraj,3+kk,52 ,9200,3500
Praha,3+1,65 ,6000,1000
Jihočeský kraj,3+1,64 ,11500,0
Praha,2+1,52 ,17000,5000
Středočeský kraj,2+kk,72 ,18000,4500
Jihočeský kraj,2+1,69 ,8400,0
Ústecký kraj,2+1,55 ,7500,2800
Středočeský kraj,2+kk,54 ,13000,3600
Praha,2+kk,50 ,17000,3000
Ústecký kraj,1+1,30 ,6100,2020
Praha,1+kk,30 ,11000,4000
Liberecký kraj,2+kk,40 ,10000,4000
Jihomoravský kraj,4+1,13 ,7000,0
Praha,1+kk,26 ,16500,1000
Jihomoravský kraj,2+kk,60 ,16000,4000
Praha,1+kk,24 ,12000,4700
Praha,1+kk,26 ,14000,4700
Praha,3+1,85 ,19500,3958
Praha,3+kk,62 ,15000,6000
Zlínský kraj,1+1,34 ,7500,2500
Praha,1+1,25 ,11000,2000
Jihomoravský kraj,1+kk,36 ,7000,500
Ústecký kraj,1+kk,35 ,8000,2000
Ústecký kraj,3+1,76 ,13000,2500
Středočeský kraj,2+kk,60 ,14500,4500
Moravskoslezský kraj,2+1,61 ,9100,3600
Karlovarský kraj,2+1,55 ,7000,3700
Praha,2+kk,46 ,17000,4000
Jihočeský kraj,Garsoniéra,35 ,7500,2500
Jihomoravský kraj,1+kk,32 ,11000,1500
Praha,2+kk,42 ,16500,5000
Praha,1+kk,36 ,16000,3500
Jihomoravský kraj,4+kk,110 ,30000,5000
Pardubický kraj,3+kk,140 ,16900,4500
Plzeňský kraj,2+1,70 ,11500,3500
Olomoucký kraj,2+1,50 ,7000,4300
Praha,3+kk,75 ,21000,3814
Středočeský kraj,3+kk,80 ,16915,2401
Středočeský kraj,2+kk,42 ,14000,3800
Jihomoravský kraj,1+kk,35 ,8000,2500
Moravskoslezský kraj,1+kk,29 ,4178,2259
Praha,1+kk,39 ,22000,4500
Moravskoslezský kraj,2+kk,44 ,6130,2459
Praha,4+kk,100 ,28500,8500
Praha,3+kk,70 ,26000,4000
Praha,1+kk,32 ,11000,3000
Jihočeský kraj,2+1,65 ,14900,0
Olomoucký kraj,3+1,75 ,17000,4000
Praha,3+1,78 ,19800,5200
Jihomoravský kraj,2+kk,44 ,13500,3500
Pardubický kraj,2+1,48 ,9000,2800
Jihočeský kraj,2+kk,50 ,10000,2500
Praha,3+kk,70 ,17300,7200
Praha,1+kk,25 ,11000,2000
Praha,3+1,100 ,8150,0
Ústecký kraj,3+kk,87 ,12500,5200
Ústecký kraj,1+1,33 ,5900,1800
Praha,1+kk,52 ,18500,2500
Praha,2+kk,42 ,17829,2000
Praha,2+1,53 ,18000,5000
Jihomoravský kraj,3+1,64 ,15000,5000
Ústecký kraj,2+kk,86 ,16900,3500
Praha,3+1,60 ,12000,6000
Středočeský kraj,1+kk,53 ,13500,3000
Praha,1+kk,32 ,14500,2556
Praha,3+1,87 ,32000,4000
Ústecký kraj,2+1,52 ,11000,2000
Královéhradecký kraj,2+1,74 ,9500,3500
Jihomoravský kraj,1+1,30 ,12000,3800
Praha,1+kk,37 ,18500,2500
Královéhradecký kraj,1+1,35 ,10500,1900
kraj Vysočina,2+1,58 ,12000,5000
Královéhradecký kraj,2+1,67 ,7000,410
Praha,3+1,84 ,20000,5000
Jihočeský kraj,2+1,65 ,14000,3500
Jihomoravský kraj,1+1,39 ,12500,3300
Praha,1+kk,37 ,15000,2000
Praha,2+1,62 ,25000,0
Moravskoslezský kraj,1+1,48 ,9500,3500
Středočeský kraj,2+kk,45 ,12000,3000
Olomoucký kraj,2+1,57 ,10500,2900
Praha,3+kk,95 ,25000,4000
Praha,2+kk,55 ,17000,4000
Plzeňský kraj,1+1,42 ,10500,4000
Praha,3+kk,92 ,21000,8000
Středočeský kraj,2+1,65 ,12000,5600
Praha,2+kk,50 ,17000,4300
Královéhradecký kraj,1+kk,55 ,10000,2500
Praha,Garsoniéra,26 ,13000,4000
Praha,2+kk,58 ,17900,4900
Praha,1+1,46 ,15000,2000
Středočeský kraj,2+1,55 ,12500,3900
Středočeský kraj,1+kk,45 ,12500,4000
Praha,2+1,70 ,9000,1250
Jihomoravský kraj,2+1,55 ,10500,6000
Praha,2+1,55 ,19000,580
Praha,3+kk,70 ,26000,4500
Praha,2+kk,45 ,20000,3500
Středočeský kraj,1+1,35 ,9000,4000
Jihomoravský kraj,1+1,45 ,12800,2000
Praha,2+1,42 ,14200,4800
Středočeský kraj,2+kk,50 ,13000,2500
Ústecký kraj,1+kk,28 ,7500,3000
Praha,4+kk,99 ,28235,5289
Středočeský kraj,2+kk,50 ,12000,4000
Plzeňský kraj,3+kk,58 ,14000,2400
Zlínský kraj,2+kk,47 ,10400,2000
Středočeský kraj,2+kk,70 ,17000,3800
Praha,1+kk,26 ,11500,4500
Praha,2+kk,60 ,10000,5000
Jihomoravský kraj,1+1,32 ,12400,2300
