Brno - Bohunice Jihomoravský kraj,2+kk,48 ,14000,4500
Brno - Královo Pole Jihomoravský kraj,1+kk,27 ,11800,2010
Vsetín Zlínský kraj,3+1,70 ,15000,2000
Míšeňská Praha - Malá Strana,2+kk,46 ,39600,13200
Francouzská Praha - Vinohrady,2+1,90 ,19725,6575
Valečovská Praha - Prosek,2+kk,55 ,17000,3500
Kozmice u Benešova Středočeský kraj,1+1,42 ,9000,4000
Farkašova Praha - Kyje,3+kk,62 ,20000,4500
Hradec Králové Královéhradecký kraj,3+1,95 ,18500,3500
U Kříže Praha - Jinonice,2+kk,56 ,16000,4000
Okružní Lysá nad Labem Středočeský kraj,2+kk,45 ,12000,3000
Praha - Nové Město,2+kk,62 ,26000,2000
K Chotolu Horoměřice Středočeský kraj,Garsoniéra,19 ,10000,1410
Brno - Ivanovice Jihomoravský kraj,2+kk,53 ,18000,6000
Kamenná Chomutov I Ústecký kraj,4+1,77 ,7000,100
Pardubice Pardubický kraj,2+kk,58 ,13500,2000
Francouzská Brno - Zábrdovice Jihomoravský kraj,2+1,67 ,15000,3500
Renneská třída Brno - Štýřice Jihomoravský kraj,2+kk,43 ,14000,2432
Teplice Ústecký kraj,3+kk,60 ,9500,4400
Olšanská h Praha - Žižkov,2+kk,62 ,32175,10725
Šífařská Praha - Hodkovičky,2+kk,43 ,16200,3800
Hedvábná Liberec - Rochlice u Liberce Liberecký kraj,1+kk,46 ,10000,2600
Voskovcova Praha - Hlubočepy,3+1,73 ,22900,3500
Praha - Kunratice,2+kk,48 ,19000,5000
Praha - Bubeneč,4+kk,110 ,29900,0
Praha - Hloubětín,1+kk,32 ,13000,5000
Nádražní Moravská Ostrava Moravskoslezský kraj,3+1,124 ,15000,500
28. října Ostrava - Zábřeh-Hulváky Moravskoslezský kraj,1+1,45 ,8000,800
Ostrava - Mariánské Hory Moravskoslezský kraj,2+1,64 ,9500,800
Mostecká Horní Litvínov Ústecký kraj,Garsoniéra,22 ,3500,2500
Xaveriova Praha - Smíchov,4+1,102 ,41756,13919
Ječná Praha - Nové Město,2+kk,0 ,60000,20000
Jablonecká Praha - Střížkov,2+1,45 ,20625,6875
Bílkova Praha - Staré Město,3+1,85 ,51840,17280
Příčná Praha - Nové Město,1+kk,26 ,41438,13812
Ječná Praha - Nové Město,2+kk,0 ,60000,20000
Americká Praha - Vinohrady,1+kk,27 ,32250,10750
Na Zbořenci Praha - Nové Město,2+1,65 ,32400,10800
Anežská Praha - Staré Město,3+kk,80 ,33000,11000
Na Zbořenci Praha - Nové Město,2+1,65 ,29250,9750
Palackého náměstí Třeboň Jihočeský kraj,1+kk,37 ,16511,5504
Francouzská Praha - Vinohrady,2+1,92 ,39000,13000
Na Balkáně Praha - Žižkov,2+kk,50 ,27195,9065
Krásova Praha - Žižkov,1+kk,42 ,27000,9000
Jana Masaryka Praha - Vinohrady,1+1,45 ,33750,11250
Brno - Starý Lískovec Jihomoravský kraj,2+kk,45 ,12000,3500
Balbínova Praha - Vinohrady,3+1,108 ,48435,16145
Zborovská Praha - Smíchov,1+kk,40 ,28050,9350
Nymburk Středočeský kraj,2+1,60 ,11000,3500
Praha - Kbely,3+kk,79 ,20000,5800
Brno - Horní Heršpice Jihomoravský kraj,Jed,nopokojový20 ,6000,2000
Vyšehradská Praha - Nové Město,2+kk,54 ,26000,7900
Mamateyova Petržalka - Háje Bratislavský kraj,1+1,40 ,579€,193€
Plzeň Plzeňský kraj,1+kk,38 ,8500,2000
Praha - Braník,3+1,90 ,20000,8000
Rakovník Středočeský kraj,2+kk,45 ,13900,3000
Praha - Uhříněves,2+kk,63 ,18000,5000
Nad Štolami Odolena Voda Středočeský kraj,3+kk,59 ,16000,5000
Praha - Chodov,3+kk,68 ,23000,2091
Křižíkova a Praha - Karlín,3+kk,89 ,35063,11687
Blanická Praha - Vinohrady,3+kk,90 ,17250,5750
U Borského parku Plzeň Plzeňský kraj,3+1,78 ,29250,9750
